vote_number,senator_number,vote
255,0,Yea
255,1,Nay
255,2,Yea
255,3,Nay
255,4,Yea
255,5,Yea
255,6,Yea
255,7,Yea
255,8,Yea
255,9,Not Voting
255,10,Yea
255,11,Yea
255,12,Yea
255,13,Yea
255,14,Yea
255,15,Nay
255,16,Yea
255,17,Nay
255,18,Nay
255,19,Yea
255,20,Yea
255,21,Yea
255,22,Yea
255,23,Yea
255,24,Yea
255,25,Nay
255,26,Yea
255,27,Yea
255,28,Yea
255,29,Yea
255,30,Yea
255,31,Yea
255,32,Yea
255,33,Yea
255,34,Nay
255,35,Yea
255,36,Yea
255,37,Yea
255,38,Nay
255,39,Not Voting
255,40,Yea
255,41,Yea
255,42,Yea
255,43,Yea
255,44,Nay
255,45,Yea
255,46,Yea
255,47,Yea
255,48,Yea
255,49,Yea
254,0,Nay
254,1,Nay
254,2,Yea
254,3,Yea
254,4,Yea
254,5,Yea
254,6,Yea
254,7,Yea
254,8,Nay
254,9,Not Voting
254,10,Yea
254,11,Yea
254,12,Nay
254,13,Yea
254,14,Nay
254,15,Nay
254,16,Yea
254,17,Nay
254,18,Nay
254,19,Yea
254,20,Yea
254,21,Nay
254,22,Yea
254,23,Nay
254,24,Yea
254,25,Nay
254,26,Nay
254,27,Yea
254,28,Nay
254,29,Nay
254,30,Yea
254,31,Yea
254,32,Yea
254,33,Yea
254,34,Nay
254,35,Yea
254,36,Nay
254,37,Yea
254,38,Nay
254,39,Not Voting
254,40,Yea
254,41,Yea
254,42,Nay
254,43,Nay
254,44,Nay
254,45,Yea
254,46,Yea
254,47,Yea
254,48,Nay
254,49,Nay
253,0,Nay
253,1,Nay
253,2,Yea
253,3,Yea
253,4,Yea
253,5,Yea
253,6,Yea
253,7,Yea
253,8,Nay
253,9,Not Voting
253,10,Yea
253,11,Yea
253,12,Nay
253,13,Yea
253,14,Nay
253,15,Nay
253,16,Yea
253,17,Nay
253,18,Nay
253,19,Yea
253,20,Yea
253,21,Nay
253,22,Yea
253,23,Nay
253,24,Yea
253,25,Nay
253,26,Nay
253,27,Yea
253,28,Nay
253,29,Nay
253,30,Yea
253,31,Yea
253,32,Yea
253,33,Yea
253,34,Nay
253,35,Yea
253,36,Nay
253,37,Yea
253,38,Nay
253,39,Not Voting
253,40,Yea
253,41,Yea
253,42,Nay
253,43,Nay
253,44,Nay
253,45,Yea
253,46,Yea
253,47,Yea
253,48,Nay
253,49,Nay
252,0,Yea
252,1,Yea
252,2,Nay
252,3,Yea
252,4,Nay
252,5,Nay
252,6,Nay
252,7,Nay
252,8,Yea
252,9,Not Voting
252,10,Nay
252,11,Yea
252,12,Yea
252,13,Nay
252,14,Yea
252,15,Yea
252,16,Yea
252,17,Yea
252,18,Nay
252,19,Nay
252,20,Nay
252,21,Yea
252,22,Nay
252,23,Yea
252,24,Nay
252,25,Yea
252,26,Yea
252,27,Nay
252,28,Yea
252,29,Yea
252,30,Nay
252,31,Nay
252,32,Nay
252,33,Nay
252,34,Yea
252,35,Yea
252,36,Nay
252,37,Nay
252,38,Yea
252,39,Not Voting
252,40,Nay
252,41,Nay
252,42,Yea
252,43,Yea
252,44,Yea
252,45,Nay
252,46,Nay
252,47,Nay
252,48,Nay
252,49,Nay
251,0,Nay
251,1,Nay
251,2,Yea
251,3,Nay
251,4,Yea
251,5,Not Voting
251,6,Yea
251,7,Yea
251,8,Yea
251,9,Not Voting
251,10,Yea
251,11,Yea
251,12,Nay
251,13,Yea
251,14,Nay
251,15,Nay
251,16,Yea
251,17,Nay
251,18,Nay
251,19,Yea
251,20,Yea
251,21,Not Voting
251,22,Yea
251,23,Nay
251,24,Yea
251,25,Nay
251,26,Nay
251,27,Yea
251,28,Nay
251,29,Nay
251,30,Yea
251,31,Yea
251,32,Yea
251,33,Yea
251,34,Nay
251,35,Nay
251,36,Nay
251,37,Not Voting
251,38,Nay
251,39,Nay
251,40,Yea
251,41,Yea
251,42,Not Voting
251,43,Nay
251,44,Nay
251,45,Yea
251,46,Yea
251,47,Yea
251,48,Nay
251,49,Nay
250,0,Nay
250,1,Nay
250,2,Yea
250,3,Nay
250,4,Yea
250,5,Not Voting
250,6,Yea
250,7,Yea
250,8,Yea
250,9,Not Voting
250,10,Yea
250,11,Yea
250,12,Nay
250,13,Yea
250,14,Nay
250,15,Nay
250,16,Yea
250,17,Nay
250,18,Nay
250,19,Yea
250,20,Yea
250,21,Not Voting
250,22,Yea
250,23,Nay
250,24,Yea
250,25,Nay
250,26,Nay
250,27,Yea
250,28,Nay
250,29,Nay
250,30,Yea
250,31,Yea
250,32,Yea
250,33,Yea
250,34,Nay
250,35,Nay
250,36,Nay
250,37,Yea
250,38,Nay
250,39,Nay
250,40,Yea
250,41,Yea
250,42,Not Voting
250,43,Nay
250,44,Nay
250,45,Yea
250,46,Yea
250,47,Yea
250,48,Nay
250,49,Nay
249,0,Yea
249,1,Nay
249,2,Yea
249,3,Nay
249,4,Not Voting
249,5,Yea
249,6,Yea
249,7,Yea
249,8,Not Voting
249,9,Not Voting
249,10,Yea
249,11,Yea
249,12,Nay
249,13,Yea
249,14,Nay
249,15,Yea
249,16,Yea
249,17,Nay
249,18,Nay
249,19,Yea
249,20,Yea
249,21,Not Voting
249,22,Yea
249,23,Yea
249,24,Yea
249,25,Nay
249,26,Yea
249,27,Yea
249,28,Yea
249,29,Yea
249,30,Yea
249,31,Yea
249,32,Yea
249,33,Yea
249,34,Yea
249,35,Yea
249,36,Yea
249,37,Yea
249,38,Nay
249,39,Nay
249,40,Yea
249,41,Yea
249,42,Not Voting
249,43,Yea
249,44,Nay
249,45,Yea
249,46,Yea
249,47,Yea
249,48,Yea
249,49,Yea
248,0,Yea
248,1,Not Voting
248,2,Yea
248,3,Nay
248,4,Yea
248,5,Yea
248,6,Yea
248,7,Yea
248,8,Yea
248,9,Yea
248,10,Yea
248,11,Yea
248,12,Nay
248,13,Yea
248,14,Nay
248,15,Yea
248,16,Yea
248,17,Nay
248,18,Nay
248,19,Yea
248,20,Yea
248,21,Yea
248,22,Yea
248,23,Yea
248,24,Yea
248,25,Nay
248,26,Yea
248,27,Yea
248,28,Yea
248,29,Not Voting
248,30,Yea
248,31,Yea
248,32,Yea
248,33,Yea
248,34,Yea
248,35,Yea
248,36,Not Voting
248,37,Yea
248,38,Not Voting
248,39,Nay
248,40,Yea
248,41,Yea
248,42,Nay
248,43,Yea
248,44,Not Voting
248,45,Yea
248,46,Yea
248,47,Yea
248,48,Yea
248,49,Yea
247,0,Yea
247,1,Yea
247,2,Nay
247,3,Yea
247,4,Yea
247,5,Nay
247,6,Yea
247,7,Not Voting
247,8,Yea
247,9,Nay
247,10,Nay
247,11,Yea
247,12,Yea
247,13,Nay
247,14,Yea
247,15,Yea
247,16,Yea
247,17,Yea
247,18,Yea
247,19,Nay
247,20,Nay
247,21,Yea
247,22,Nay
247,23,Yea
247,24,Nay
247,25,Yea
247,26,Yea
247,27,Nay
247,28,Yea
247,29,Yea
247,30,Yea
247,31,Nay
247,32,Nay
247,33,Nay
247,34,Yea
247,35,Yea
247,36,Not Voting
247,37,Nay
247,38,Yea
247,39,Yea
247,40,Nay
247,41,Nay
247,42,Yea
247,43,Yea
247,44,Yea
247,45,Nay
247,46,Nay
247,47,Nay
247,48,Yea
247,49,Yea
246,0,Nay
246,1,Nay
246,2,Yea
246,3,Nay
246,4,Yea
246,5,Yea
246,6,Nay
246,7,Yea
246,8,Nay
246,9,Yea
246,10,Yea
246,11,Nay
246,12,Nay
246,13,Yea
246,14,Nay
246,15,Nay
246,16,Not Voting
246,17,Nay
246,18,Nay
246,19,Yea
246,20,Yea
246,21,Nay
246,22,Yea
246,23,Nay
246,24,Yea
246,25,Nay
246,26,Nay
246,27,Yea
246,28,Nay
246,29,Nay
246,30,Yea
246,31,Yea
246,32,Yea
246,33,Yea
246,34,Nay
246,35,Nay
246,36,Not Voting
246,37,Yea
246,38,Nay
246,39,Nay
246,40,Yea
246,41,Yea
246,42,Nay
246,43,Nay
246,44,Nay
246,45,Yea
246,46,Yea
246,47,Yea
246,48,Nay
246,49,Nay
245,0,Nay
245,1,Nay
245,2,Yea
245,3,Nay
245,4,Yea
245,5,Yea
245,6,Nay
245,7,Yea
245,8,Nay
245,9,Yea
245,10,Yea
245,11,Nay
245,12,Nay
245,13,Yea
245,14,Nay
245,15,Nay
245,16,Not Voting
245,17,Nay
245,18,Nay
245,19,Yea
245,20,Yea
245,21,Nay
245,22,Yea
245,23,Nay
245,24,Yea
245,25,Nay
245,26,Nay
245,27,Yea
245,28,Nay
245,29,Nay
245,30,Nay
245,31,Yea
245,32,Yea
245,33,Yea
245,34,Nay
245,35,Nay
245,36,Not Voting
245,37,Not Voting
245,38,Nay
245,39,Nay
245,40,Yea
245,41,Yea
245,42,Nay
245,43,Nay
245,44,Nay
245,45,Yea
245,46,Yea
245,47,Yea
245,48,Nay
245,49,Nay
244,0,Nay
244,1,Nay
244,2,Yea
244,3,Nay
244,4,Yea
244,5,Yea
244,6,Nay
244,7,Yea
244,8,Nay
244,9,Yea
244,10,Yea
244,11,Nay
244,12,Nay
244,13,Yea
244,14,Nay
244,15,Nay
244,16,Not Voting
244,17,Nay
244,18,Nay
244,19,Yea
244,20,Yea
244,21,Nay
244,22,Yea
244,23,Nay
244,24,Yea
244,25,Nay
244,26,Nay
244,27,Yea
244,28,Nay
244,29,Nay
244,30,Nay
244,31,Yea
244,32,Yea
244,33,Yea
244,34,Nay
244,35,Nay
244,36,Not Voting
244,37,Yea
244,38,Nay
244,39,Nay
244,40,Yea
244,41,Yea
244,42,Nay
244,43,Nay
244,44,Nay
244,45,Yea
244,46,Yea
244,47,Yea
244,48,Nay
244,49,Nay
243,0,Nay
243,1,Nay
243,2,Not Voting
243,3,Nay
243,4,Yea
243,5,Yea
243,6,Nay
243,7,Yea
243,8,Nay
243,9,Yea
243,10,Yea
243,11,Nay
243,12,Nay
243,13,Yea
243,14,Nay
243,15,Nay
243,16,Yea
243,17,Nay
243,18,Nay
243,19,Yea
243,20,Yea
243,21,Nay
